id_venta,fecha,producto,categoria,cantidad,precio_unitario,cliente,region,edad_cliente,ingresos_anuales
210,2025-01-01,Monitor LG,Electrónica,1,369.86,Diego López,Sur,56,104427.78
195,2025-01-03,Mouse Inalámbrico,Accesorios,3,51.35,Miguel González,Sur,33,56885.82
253,2025-01-05,Auriculares Logitech,Accesorios,3,92.83,Carlos Martínez,Sur,44,84686.67
485,2025-01-07,Webcam HD,Accesorios,1,69.59,Valentina García,Este,20,39543.0
194,2025-01-07,Webcam Full HD,Accesorios,3,141.23,Ana Sánchez,Oeste,25,55351.72
213,2025-01-08,Laptop HP,Electrónica,3,1000.93,María Rodríguez,Norte,27,48015.63
366,2025-01-08,Laptop Lenovo,Electrónica,1,940.59,Pedro García,Norte,55,96656.57
335,2025-01-08,Laptop HP,Electrónica,1,1339.49,Diego Pérez,Oeste,31,59041.76
230,2025-01-09,Monitor Dell,Electrónica,2,324.97,Valentina Sánchez,Sur,27,56439.72
52,2025-01-10,Webcam Full HD,Accesorios,2,144.98,Laura Rodríguez,Oeste,53,98348.81
435,2025-01-10,Webcam Full HD,Accesorios,3,138.38,Laura García,Norte,23,46845.95
115,2025-01-10,Webcam Full HD,Accesorios,2,100.45,Pedro López,Sur,52,98470.35
280,2025-01-10,Mouse Inalámbrico,Accesorios,1,46.3,Pedro Sánchez,Sur,58,99894.8
263,2025-01-10,Auriculares Logitech,Accesorios,1,66.88,María Martínez,Oeste,59,120000.0
136,2025-01-11,Laptop HP,Electrónica,1,1355.31,Valentina Pérez,Sur,22,61246.87
91,2025-01-12,Monitor Dell,Electrónica,1,249.3,Valentina Fernández,Sur,33,51215.1
368,2025-01-12,Teclado Inalámbrico,Accesorios,2,53.79,Laura García,Este,38,73156.72
155,2025-01-14,Auriculares Sony,Accesorios,1,182.89,Sofía López,Oeste,53,100196.58
139,2025-01-14,Laptop Dell,Electrónica,1,1242.39,Miguel Sánchez,Sur,44,76971.45
72,2025-01-14,Laptop HP,Electrónica,1,983.11,Juan Rodríguez,Sur,22,44143.51
410,2025-01-15,Laptop HP,Electrónica,2,1050.96,Valentina Rodríguez,Sur,24,45641.79
156,2025-01-15,Mouse Inalámbrico,Accesorios,3,48.99,Sofía García,Oeste,48,100533.16
332,2025-01-16,Teclado Inalámbrico,Accesorios,3,49.27,Juan Sánchez,Sur,31,47068.4
315,2025-01-16,Mouse Gaming,Accesorios,2,106.25,Juan Pérez,Norte,40,66774.87
343,2025-01-17,Teclado Inalámbrico,Accesorios,1,44.35,Sofía Rodríguez,Este,58,104041.7
375,2025-01-19,Mouse Gaming,Accesorios,3,105.54,María Sánchez,Sur,59,117450.96
482,2025-01-19,Mouse Gaming,Accesorios,2,79.1,Carlos Martínez,Oeste,20,40382.33
298,2025-01-21,Monitor Samsung,Electrónica,3,342.95,Ana Martínez,Norte,46,86659.8
400,2025-01-24,Monitor Dell,Electrónica,2,314.95,Miguel González,Sur,45,58611.91
392,2025-01-24,Auriculares Sony,Accesorios,1,166.64,Juan González,Este,44,77114.14
251,2025-01-25,Monitor Dell,Electrónica,1,253.42,Ana Rodríguez,Oeste,31,59095.01
149,2025-01-25,Mouse Gaming,Accesorios,2,99.34,Diego López,Este,56,114657.23
215,2025-01-26,Webcam Full HD,Accesorios,1,129.72,Sofía Pérez,Oeste,31,61782.89
238,2025-01-27,Laptop Dell,Electrónica,1,1415.93,Pedro Sánchez,Sur,27,50624.65
397,2025-01-28,Teclado Mecánico,Accesorios,3,88.8,Laura González,Oeste,40,72565.89
140,2025-01-29,Auriculares Sony,Accesorios,2,142.17,María Pérez,Norte,30,53818.57
158,2025-01-29,Laptop Lenovo,Electrónica,2,881.51,Juan Rodríguez,Sur,35,67470.17
121,2025-01-29,Mouse Inalámbrico,Accesorios,3,22.76,Sofía García,Sur,30,48103.95
358,2025-01-31,Teclado Inalámbrico,Accesorios,1,89.4,Ana García,Norte,24,48311.72
87,2025-02-03,Mouse Inalámbrico,Accesorios,1,50.76,Laura Rodríguez,Sur,32,65355.88
101,2025-02-05,Laptop Lenovo,Electrónica,1,858.21,Sofía Pérez,Sur,21,49774.84
147,2025-02-05,Monitor LG,Electrónica,2,297.4,Ana López,Este,36,94400.85
16,2025-02-05,Webcam HD,Accesorios,1,76.99,Diego López,Este,41,81371.13
29,2025-02-06,Laptop Dell,Electrónica,1,1046.55,Diego García,Norte,54,109361.53
169,2025-02-06,Teclado Inalámbrico,Accesorios,2,74.79,Pedro Rodríguez,Norte,59,110632.72
176,2025-02-06,Auriculares Logitech,Accesorios,2,116.94,Laura González,Oeste,51,96279.54
